"","Submission Date","UF","Cidade","Dano","Violência","Tipificação","Vítima","Gênero da vítima 1","Gênero da vítima 2","Gênero da vítima 3","Escolaridade da vítima 3","Escolaridade da vítima 2","Escolaridade da vítima 1","Escolaridade do agressor 3","Escolaridade do agressor 2","Escolaridade do agressor 1","Data da denúncia","Orientação sexual da vítima 1","Orientação sexual da vítima 2","Orientação sexual da vítima 3","Idade da vítima 1","Idade da vítima 2","Idade da vítima 3","Raça/cor da vítima 1","Raça/cor da vítima 2","Raça/cor da vítima 3","Religião da vítima 1","Religião da vítima 2","Religião da vítima 3","Agressor 1","Gênero do agressor 1","Gênero do agressor 2","Gênero do agressor 3","Orientação sexual do agressor 1","Orientação sexual do agressor 2","Orientação sexual do agressor 3","Idade do agressor 1","Idade do agressor 2","Idade do agressor 3","Raça/cor do agressor 1","Raça/cor do agressor 2","Raça/cor do agressor 3","Religião do agressor 1","Religião do agressor 2","Religião do agressor 3","Encaminhamentos","Resumo","Observações"
"21","2022/03/17 16:28:00","PR","Pato Branco",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-09 08:55:00,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191054532 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"22","2022/03/17 16:28:00","PR","Quedas Do Iguacu",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-10 09:00:00,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191055793 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"23","2022/03/17 16:28:00","PR","Urai",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-06 08:00:00,NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191056207 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"24","2022/03/17 16:28:00","PR","Paranagua",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-09 14:00:00,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191057324 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"25","2022/03/17 16:28:00","PR","Curitiba",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-08-31 08:30:00,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191057632 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"26","2022/03/17 16:28:00","PR","Curitiba",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-10 11:30:00,NA,NA,NA,"67",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191058375 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"27","2022/03/17 16:28:00","PR","Santa Terezinha De Itaipu",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-02-04 18:00:00,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191059083 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"28","2022/03/17 16:28:00","PR","Cambe",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11 08:30:00,NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191061912 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"29","2022/03/17 16:28:00","PR","Cascavel",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino","Masculino",NA,NA,NA,NA,NA,NA,NA,2019-09-11 10:40:00,NA,NA,NA,"30","40",NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191062338 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"30","2022/03/17 16:28:00","PR","Cornelio Procopio",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11 08:50:00,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191062351 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"31","2022/03/17 16:28:00","PR","Matinhos",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11 10:00:00,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191063677 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"32","2022/03/17 16:28:00","PR","Paranavai",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11 19:05:00,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191064879 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"33","2022/03/17 16:28:00","PR","Santa Izabel Do Oeste",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-01-10 09:00:00,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019107243 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"34","2022/03/17 16:28:00","PR","Urai",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-13 16:20:00,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191073866 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"35","2022/03/17 16:28:00","PR","Guarapuava",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15 15:20:00,NA,NA,NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20191078256 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
"36","2022/03/17 16:28:00","PR","Paranavai",NA,NA,"INJURIA REFERENTE A RACA/COR/ETNIA/RELIGIAO/ORIGEM","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-01-25 14:00:00,NA,NA,NA,"44",NA,NA,NA,NA,NA,NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019107851 - Sem dados de raça (vieram como M/F, ao invés de informações raciais"
